News website link,Folder name,Deny consent option,Deny consent name,Deny consent hierarchy,Cookie consent notice location,Accessible content,Deny consent clicks,Deny consent visibility,Consent options clarity,Cookie information,Third-party developer,Website accessibility,Dark pattern type,Confirmation message,Media organization
https://www.nu.nl/,NU,Yes,Instellingen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all unnecessary options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",OneTrust,Yes,"Yes, interface interference",No,dpgmedia
https://nos.nl/,NOS,No,-,No opt-out option,"Bottom of the page, middle",Yes,-,-,"Good clarity, no opt-out option provided as both functional and analytical cookies are needed to comply with regulations","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described",-,-,"Yes, sneaking",-,-
https://www.ad.nl/,AD,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No but cookie consent notice even shows up for a second time after denying consent,dpgmedia
https://www.telegraaf.nl/,Telegraaf,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",7,Yes,"Good clarity, no deny all option present. Each option has to be denied separately","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://tweakers.net/,Tweakers,"No, reference to browser settings",-,No opt-out option,"Middle of the page, top","No, grayed out",-,-,"Good clarity, but no option to opt-out","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,-,"Yes, sneaking",-,dpgmedia
https://www.nrc.nl/,NRC,No,-,No opt-out option,"Bottom, entire width",Yes,-,-,"Good clarity, but no option to opt-out","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing",-,-,"Yes, sneaking",-,-
https://www.volkskrant.nl/,Volkskrant,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,Yes,"Yes, interface interference & forced action",No,dpgmedia
https://www.rtlnieuws.nl/,RTLnieuws,Yes,Cookie instellingen aanpassen,"No, link","Middle of the page, top","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing",OneTrust,"Yes, some functionalities are missing and not visible","Yes, interface interference & forced action",No,-
https://www.trouw.nl/,Trouw,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,dpgmedia
https://www.parool.nl/,Parool,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some parts of the website became gray (not visible areas)","Yes, interface interference & forced action",No,dpgmedia
https://www.metronieuws.nl/,Metro,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",7,Yes,"Good clarity, no deny all option present. Each option has to be denied separately","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in the cookie statement on a seperate page",Didomi,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,Mediahuis
https://www.dumpert.nl/,Dumpert,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",7,Yes,"Good clarity, no deny all option present. Each option has to be denied separately","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://www.ntr.nl/,NTR,Yes,X (button),"Yes, button","Bottom, entire width","Yes, cookie notice stays visibile",2,Yes,"Good clarity, ability to opt-out in the first cookie consent notice","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described on a seperate page",-,Yes,"Yes, sneaking",No,
https://www.linda.nl/,Linda,Yes,"Nee, instellingen beheren","No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,Yes,"Yes, interface interference & forced action","No but if you click 'accept' first and reject after in the cookie options, some options are still opted-in.",Talpha network
https://www.gelderlander.nl/,Gelderlander,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,dpgmedia
https://www.destentor.nl/,DeStentor,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,dpgmedia
https://www.bd.nl/,BD,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,dpgmedia
https://www.ed.nl/,ED,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,dpgmedia
https://www.tubantia.nl/,Tubantia,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,dpgmedia
